,Lot Area,Year Built,Year Remod/Add,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,TotRms AbvGrd,Mo Sold,Yr Sold,Outdoor Liv Area,SalePrice
29,8064,1949,2006,924,0.0,0.0,1,0,3,1,6,7,2007,0,122900
30,9600,1981,1981,2524,1.0,0.0,2,1,4,1,9,7,2009,594,278000
31,11435,1929,1950,1517,0.0,0.0,1,0,3,1,7,6,2006,0,230000
32,9549,1995,1996,1494,1.0,0.0,1,1,2,1,6,4,2006,246,270000
33,10950,1952,1952,948,0.0,0.0,1,0,2,1,5,4,2007,48,125000
34,10637,2007,2008,1718,1.0,0.0,2,0,3,1,7,9,2009,252,297000
35,9000,1958,1958,1142,0.0,0.0,1,0,2,1,5,4,2009,28,113500
36,2665,1977,1977,1475,0.0,0.0,2,0,4,1,6,7,2006,130,127000
37,11751,1977,1977,1844,0.0,0.0,2,0,3,1,7,1,2010,122,190000
38,9600,1973,1973,1242,0.0,0.0,1,1,3,1,6,9,2007,0,175500
39,8428,1994,1994,990,1.0,0.0,1,0,3,1,5,7,2007,256,146000
40,9937,1965,1965,1256,1.0,0.0,1,1,3,1,6,6,2008,804,147500
41,13891,2006,2006,2076,1.0,0.0,2,1,2,1,7,9,2006,445,465000
42,9101,1978,1978,1110,1.0,0.0,1,0,1,1,4,7,2009,333,165500
43,12150,1954,1954,1795,0.0,0.0,2,0,4,1,7,11,2008,0,131500
44,11200,1965,1965,1040,1.0,0.0,1,0,3,1,5,2,2008,0,129500
45,9670,1935,1950,1873,0.0,0.0,1,1,4,1,9,6,2008,0,257076
46,10998,1941,1960,1604,0.0,0.0,2,0,3,1,6,7,2009,68,117000
47,7200,1931,2000,1502,0.0,0.0,1,1,3,1,6,2,2008,0,149000
48,9920,1954,1954,1063,1.0,0.0,1,0,3,1,6,2,2010,0,128000
49,2448,2003,2004,1626,0.0,0.0,2,1,2,1,6,10,2008,27,155000
50,2998,2000,2000,1524,0.0,0.0,2,1,2,1,4,6,2006,32,166000
51,7804,1928,1950,1981,1.0,0.0,2,0,4,1,7,12,2009,475,135000
52,16692,1978,1978,2784,1.0,0.0,3,1,5,1,12,7,2006,552,250000
53,1476,1970,1970,1092,0.0,0.0,1,1,3,1,5,3,2010,226,76000
54,10170,1951,1951,1575,0.0,0.0,1,1,2,1,5,6,2006,0,155000
55,9364,1969,1969,1352,0.0,0.0,1,1,4,1,7,3,2010,415,158000
56,2544,2004,2005,1200,1.0,0.0,2,1,2,1,4,2,2010,172,149500
57,9888,1954,1975,936,0.0,0.0,1,0,2,1,5,3,2006,0,121000
58,7942,1953,1953,1040,0.0,1.0,1,0,3,1,6,6,2007,0,136000
59,15038,1996,1996,1636,0.0,0.0,2,1,3,1,7,11,2008,252,173000
60,11764,1999,2007,2270,0.0,0.0,2,1,4,1,9,4,2010,189,290000
61,9000,2007,2007,2610,0.0,0.0,2,1,4,1,11,8,2007,572,303477
62,20062,1977,2001,1483,1.0,0.0,1,1,1,1,4,4,2010,496,270000
63,7308,1920,1950,1740,0.0,0.0,1,0,2,1,6,6,2008,0,122250
64,8750,1955,1955,1382,0.0,1.0,1,0,3,1,6,7,2009,280,153000
65,8402,2007,2007,1120,0.0,0.0,1,0,3,1,6,12,2007,30,147000
66,4000,1930,1995,1098,1.0,0.0,1,0,2,1,5,6,2007,0,148500
67,3363,2004,2004,1708,0.0,0.0,2,0,3,1,7,4,2006,40,130000
68,13615,2006,2006,1802,0.0,0.0,2,1,3,1,7,6,2007,263,372000
69,3013,2005,2005,1506,0.0,0.0,2,0,2,1,6,4,2006,162,213490
70,17485,2009,2010,1508,1.0,0.0,1,0,1,1,5,1,2010,0,308030
71,23730,1996,1997,2032,1.0,0.0,3,0,3,1,7,9,2008,46,300000
72,8910,1959,1959,1194,0.0,1.0,1,0,3,1,6,7,2006,0,159500
73,2522,2004,2004,1709,0.0,0.0,2,0,3,1,7,4,2006,40,137500
74,8688,2005,2005,1616,0.0,0.0,2,0,3,1,7,4,2006,267,232000
75,6291,1930,1950,768,0.0,0.0,1,0,1,1,4,7,2008,0,93850
76,17529,1924,1950,872,0.0,0.0,1,0,2,1,5,4,2006,0,105000
77,6324,1927,1950,520,0.0,0.0,1,0,1,1,4,5,2008,49,68500
78,11600,1960,1960,2274,0.0,0.0,2,0,5,2,12,1,2010,0,154300
79,7288,1925,2003,1601,0.0,0.0,2,0,3,1,6,9,2007,0,129850
80,4571,1910,1950,1232,0.0,0.0,1,0,3,1,6,6,2007,280,114000
81,17423,2008,2009,2234,1.0,0.0,2,0,1,1,9,7,2009,60,501837
82,12665,1915,1950,1416,0.0,0.0,1,1,4,1,7,6,2008,418,153900
83,9000,1971,2006,864,0.0,0.0,1,0,3,1,5,7,2009,200,130000
84,4500,1997,1997,1189,1.0,0.0,2,0,2,1,4,4,2008,122,160500
85,6373,2006,2006,1666,1.0,0.0,2,0,2,1,6,6,2006,303,310090
86,10083,2003,2003,1200,1.0,0.0,2,0,2,1,5,8,2009,41,184900
87,13300,1956,2000,928,0.0,0.0,1,0,2,1,4,6,2007,261,132000
88,9600,1969,1969,1336,0.0,1.0,2,0,3,1,6,8,2009,323,163000
89,3215,2004,2004,1200,0.0,0.0,2,1,2,1,4,4,2010,172,155000
90,11104,1969,1969,1427,0.0,1.0,2,0,4,1,7,5,2008,216,183000
91,15295,1996,2002,1992,1.0,0.0,2,1,3,1,7,6,2007,257,211000
92,9109,1994,1994,1540,1.0,0.0,2,1,3,1,6,10,2009,172,184000
93,7018,1979,1979,1535,0.0,0.0,2,0,4,2,8,6,2009,0,118858
94,14112,1964,1964,1152,1.0,0.0,1,0,3,1,6,4,2010,227,180500
95,3523,2006,2007,1151,1.0,0.0,2,0,2,1,5,2,2007,60,166000
96,15312,1960,1960,1138,0.0,1.0,1,0,3,1,6,3,2009,140,148000
97,7450,1956,1956,1074,0.0,0.0,1,0,2,1,6,1,2007,72,124000
98,7313,2005,2005,1561,1.0,0.0,2,0,2,1,6,8,2007,250,277500
99,10019,1995,1995,2726,0.0,0.0,2,1,4,1,9,6,2006,476,350000
100,15401,2004,2004,1884,1.0,0.0,2,0,2,1,7,9,2008,290,387000
101,9098,1920,2002,605,1.0,0.0,1,0,2,1,5,7,2007,0,86000
102,16280,1976,2007,1671,1.0,0.0,3,0,3,1,6,5,2008,370,290000
103,9392,1900,1950,797,0.0,0.0,1,0,2,1,5,9,2009,36,44000
104,12209,2001,2002,1961,1.0,0.0,2,1,3,1,7,6,2009,317,215000
105,13110,1972,1972,1193,1.0,0.0,2,0,2,1,6,7,2006,293,146500
106,2651,2000,2000,1382,1.0,0.0,2,1,3,1,6,4,2006,203,165000
107,8520,1916,1950,2526,0.0,0.0,2,0,5,1,10,8,2007,103,136000
109,2628,2003,2003,1626,0.0,0.0,2,1,2,1,6,6,2010,27,175500
110,6406,1939,1950,1558,0.0,0.0,1,1,3,1,7,10,2009,218,150000
111,12342,1960,1978,1422,0.0,0.0,1,0,3,1,6,8,2007,0,139900
112,6240,1930,1992,1573,0.0,0.0,2,0,3,1,8,6,2008,0,162900
113,10000,1962,1962,1116,0.0,0.0,1,1,3,1,5,2,2010,385,160000
114,9000,1947,1950,660,0.0,0.0,1,0,2,1,5,6,2009,0,63900
115,11088,1978,1998,1707,0.0,0.0,2,0,3,1,7,5,2009,0,184000
116,17755,1959,1959,1466,0.0,0.0,1,1,3,1,6,11,2006,240,149900
117,4765,2000,2000,1638,1.0,0.0,2,0,2,1,5,7,2008,298,300000
118,10532,1960,1960,1721,1.0,0.0,2,0,3,1,7,12,2008,134,145000
119,15426,1997,1997,1764,1.0,0.0,2,1,3,1,7,8,2009,375,231500
120,13907,1940,1969,996,1.0,0.0,1,0,3,1,6,7,2008,144,108000
121,8750,1956,1956,1202,0.0,1.0,1,0,3,1,6,11,2009,35,120000
122,9945,1961,1961,988,1.0,0.0,1,0,3,1,5,10,2007,0,128500
123,8960,1927,1950,1028,0.0,0.0,1,0,2,1,5,3,2010,0,115000
124,3500,1947,1950,1284,0.0,0.0,1,1,2,1,5,4,2009,35,110000
125,24572,1977,1977,2944,0.0,0.0,2,2,3,1,9,6,2008,210,150000
126,9056,2004,2004,1414,0.0,0.0,2,1,3,1,6,10,2006,135,178000
127,12320,1932,1990,1609,0.0,0.0,1,1,3,1,8,5,2006,104,199500
128,8238,1997,1998,1525,1.0,0.0,2,1,3,1,6,5,2006,493,183500
129,6000,1967,1967,1656,0.0,0.0,1,1,3,1,7,7,2008,280,126000
130,2529,1977,1977,1055,0.0,0.0,2,0,2,1,4,9,2008,38,148500
131,10800,1939,2006,1352,0.0,1.0,2,0,4,1,7,8,2009,187,149000
132,2349,1977,1977,1456,0.0,0.0,2,1,3,1,6,5,2009,28,137900
133,10846,1993,1993,1719,2.0,0.0,1,1,1,1,6,5,2008,152,324000
134,5604,1925,1950,864,1.0,0.0,1,0,2,1,5,4,2008,0,98000
135,1680,1973,1973,987,0.0,1.0,1,1,2,1,5,2,2008,52,103400
136,6342,1875,1996,1020,0.0,0.0,1,0,2,1,6,5,2010,0,94000
137,4590,2006,2006,1554,0.0,0.0,2,0,2,1,6,8,2007,229,209500
138,18062,2006,2006,3390,0.0,0.0,3,1,5,1,10,9,2006,238,545224
139,12900,1912,2009,1560,0.0,0.0,1,1,3,1,7,5,2010,512,159900
140,19138,1951,1951,864,0.0,0.0,1,0,2,1,4,6,2010,0,141000
141,8658,2000,2000,1889,0.0,0.0,2,1,3,1,9,4,2006,0,215000
142,6897,1962,2010,1040,1.0,0.0,1,1,3,1,6,4,2010,104,127000
143,9525,1954,1998,1172,1.0,0.0,1,0,3,1,5,6,2010,240,128000
144,12853,2010,2010,1418,1.0,0.0,1,1,1,1,6,4,2010,352,267916
145,6240,1931,1950,1367,0.0,0.0,1,0,3,1,6,11,2007,120,127500
146,7301,2003,2003,1922,0.0,0.0,3,0,4,1,7,7,2009,0,198500
147,12090,1981,1981,1422,0.0,0.0,2,0,3,1,7,6,2008,276,175500
148,8826,2000,2000,1842,1.0,0.0,2,1,3,1,7,7,2007,289,217500
149,8094,1915,1950,1962,0.0,0.0,1,1,4,1,9,6,2010,160,149500
150,10710,1966,2004,1120,0.0,1.0,1,0,3,1,5,7,2009,162,148800
151,16056,2005,2006,2868,0.0,0.0,3,1,4,1,11,7,2006,322,556581
152,8400,1957,1957,1478,1.0,0.0,1,1,3,1,6,6,2009,330,156500
153,11250,1995,1996,1995,1.0,0.0,2,1,4,1,8,7,2006,445,237000
154,7535,1958,1985,912,0.0,1.0,1,0,2,1,5,6,2007,297,120000
155,12216,2005,2005,1326,1.0,0.0,2,0,3,1,6,6,2007,143,203000
156,3701,1987,1987,1204,0.0,0.0,2,0,2,1,5,8,2006,190,130000
157,9760,1964,1964,1611,1.0,0.0,1,1,4,1,7,6,2008,645,167900
158,9873,1970,1970,960,1.0,0.0,1,0,3,1,6,5,2006,288,129000
159,10011,1957,1996,1236,0.0,1.0,1,0,2,1,6,5,2006,0,134450
161,8883,1988,1988,1873,1.0,0.0,2,1,3,1,7,5,2007,300,207000
162,3000,1922,1950,2128,0.0,0.0,2,0,4,2,11,9,2009,56,62500
163,2448,2003,2004,1626,1.0,0.0,2,1,2,1,6,10,2008,27,154000
164,7100,1957,1957,816,1.0,0.0,1,0,2,1,5,7,2006,0,129900
165,2592,1976,1976,1112,0.0,0.0,1,1,3,1,4,4,2010,182,85000
166,5700,1926,1950,1111,0.0,0.0,1,0,2,1,5,8,2008,0,116900
167,2289,1978,1978,1441,0.0,0.0,2,1,3,1,7,4,2009,28,148500
168,12180,1941,1950,924,1.0,0.0,1,0,2,1,5,7,2010,0,80000
169,7400,1984,1984,1126,1.0,0.0,1,0,2,1,5,3,2008,178,152000
170,8842,1954,1954,992,0.0,0.0,1,0,3,1,6,1,2010,60,155891
171,8850,1920,1950,1376,0.0,0.0,1,0,3,1,7,2,2007,54,165000
172,9215,2009,2010,1218,0.0,0.0,2,0,2,1,4,4,2010,136,204500
173,9480,1942,1995,1644,0.0,0.0,1,1,3,1,7,6,2007,168,146500
174,11880,1978,1978,1601,0.0,0.0,2,0,3,1,7,4,2009,0,157000
175,10800,1890,1999,2495,0.0,0.0,2,0,5,1,10,12,2008,299,184000
176,7861,2002,2003,1509,1.0,0.0,2,1,3,1,7,6,2006,175,183200
177,11616,1962,1962,1092,0.0,1.0,1,0,3,1,6,9,2009,20,139000
178,10542,1993,1994,2418,1.0,0.0,2,1,3,1,9,8,2008,404,341000
179,1680,1971,1971,987,0.0,0.0,1,1,2,1,5,2,2010,275,96000
180,8546,2003,2004,1121,0.0,0.0,2,0,2,1,5,3,2010,196,140000
181,7407,1957,1996,1236,1.0,0.0,1,0,2,1,6,4,2010,158,149700
182,10140,1975,1975,1074,1.0,0.0,1,1,3,1,6,7,2006,88,153500
183,14584,1952,1952,733,0.0,0.0,1,0,2,1,4,2,2008,0,13100
184,8158,2003,2003,1768,1.0,0.0,2,1,3,1,8,7,2008,63,224900
185,7500,2005,2005,1266,0.0,0.0,2,0,3,1,6,4,2006,182,176000
186,10678,1992,2000,2872,0.0,0.0,2,1,4,1,9,4,2007,33,285000
187,15256,2007,2007,1464,1.0,0.0,2,0,3,1,6,8,2007,328,282922
188,14200,1966,1966,2157,0.0,0.0,2,1,4,1,8,5,2006,171,226000
189,12438,2006,2006,2576,0.0,0.0,2,1,4,1,10,7,2006,424,361919
190,16023,2005,2006,2798,1.0,0.0,3,1,3,1,11,3,2006,219,457347
191,20064,1976,1976,1743,2.0,0.0,0,1,0,1,5,5,2007,646,279000
192,9819,1977,1977,1567,1.0,0.0,2,0,2,1,5,5,2009,296,196000
193,10400,1976,1976,1370,0.0,0.0,2,0,3,1,6,6,2009,0,152000
194,11643,1969,1969,2634,1.0,1.0,2,2,6,2,12,8,2009,0,200000
195,11645,2005,2006,1590,1.0,0.0,2,1,2,1,6,8,2006,256,294900
196,7328,2008,2009,1450,0.0,0.0,2,0,2,1,6,2,2009,93,224243
197,7822,1915,1950,1338,0.0,0.0,2,0,3,1,7,5,2006,0,92000
198,9018,2007,2007,1456,0.0,0.0,2,1,3,1,8,7,2007,124,179540
199,13472,2003,2003,2392,0.0,0.0,2,0,3,1,8,6,2009,353,386250
200,1533,1970,1970,992,1.0,0.0,1,0,2,1,4,7,2007,209,106500
201,11003,2008,2008,2007,1.0,0.0,2,1,3,1,10,4,2009,220,310000
202,10790,1998,1998,2385,0.0,0.0,2,1,4,1,8,5,2007,158,252000
203,7128,1941,1950,1646,0.0,0.0,2,0,4,1,7,8,2007,126,164000
204,7713,2007,2007,1456,0.0,0.0,2,1,3,1,7,7,2007,124,177594
205,6240,1936,1980,1040,0.0,0.0,1,0,2,1,5,5,2010,306,123900
206,22420,1918,1950,2624,1.0,0.0,2,1,4,1,10,11,2007,0,239000
207,15300,1965,1977,1264,1.0,0.0,1,0,2,1,7,6,2010,0,169000
208,3196,2003,2004,1557,0.0,0.0,2,0,2,1,7,10,2006,163,234000
209,9360,1977,1977,1287,1.0,0.0,1,1,2,1,5,11,2009,461,173000
210,11241,1970,1970,1004,1.0,0.0,1,0,2,1,5,3,2010,0,149000
211,9260,2007,2007,1162,0.0,0.0,2,0,3,1,6,3,2008,32,170000
212,7993,2008,2009,1436,0.0,0.0,2,0,3,1,6,10,2009,121,225000
213,9239,1963,2003,960,1.0,0.0,1,0,3,1,6,5,2008,168,144900
214,10044,1968,1968,1196,1.0,0.0,1,0,3,1,6,6,2010,257,144000
215,3182,2004,2005,1269,0.0,0.0,2,0,2,1,6,4,2010,310,192000
216,7626,1952,2005,1031,1.0,0.0,1,0,2,1,5,3,2009,0,145500
217,7008,1900,1998,720,0.0,0.0,1,0,1,1,5,3,2006,0,86900
218,12160,1953,1953,1505,1.0,0.0,1,0,2,1,6,2,2009,0,149500
219,6305,1938,1950,954,0.0,0.0,1,0,2,1,5,6,2007,0,119750
220,8846,2005,2006,1500,0.0,0.0,2,1,3,1,6,8,2006,35,173900
221,10659,1961,1961,1050,1.0,0.0,1,0,3,1,6,1,2006,319,136500
222,13108,1994,1994,2687,0.0,0.0,2,1,4,1,9,12,2006,180,270000
223,13500,1960,1975,1252,1.0,0.0,1,0,1,1,4,3,2008,409,235000
224,7750,1999,2000,1430,0.0,0.0,2,1,3,1,7,3,2009,0,156000
225,12450,2003,2004,1114,1.0,0.0,2,0,3,1,6,6,2009,42,153000
226,4500,1999,1999,1224,1.0,0.0,2,0,2,1,5,6,2009,304,165000
227,11198,2005,2007,2504,0.0,0.0,2,1,4,1,11,6,2008,183,325000
228,6221,1941,1950,1355,0.0,0.0,2,0,3,1,5,10,2007,144,140000
229,13200,1963,1963,2294,0.0,0.0,3,0,5,1,9,4,2007,110,202500
230,8769,2008,2008,1702,1.0,0.0,1,1,1,1,7,10,2008,296,367294
231,10200,1988,1989,1509,1.0,0.0,2,0,3,1,5,8,2008,224,175000
232,9550,1915,1970,1717,1.0,0.0,1,0,3,1,7,2,2006,35,140000
233,10331,1985,1985,1240,0.0,1.0,2,0,3,1,6,7,2007,232,174000
234,9587,2005,2005,1166,1.0,0.0,2,0,2,1,5,7,2008,212,190000
235,9900,1910,2002,1464,0.0,0.0,2,0,3,1,7,3,2009,0,129000
236,22002,1959,1991,1652,1.0,0.0,1,1,3,1,6,7,2007,201,200000
237,13000,1968,1968,2142,0.0,0.0,2,1,4,1,8,6,2009,324,193500
238,8250,1964,1964,1092,1.0,0.0,1,0,3,1,6,7,2008,0,145000
239,8170,1929,1950,1671,0.0,0.0,2,0,4,1,7,2,2006,0,218000
240,12048,1952,2002,1488,0.0,0.0,1,0,3,1,7,4,2006,537,135000
241,10858,1952,1952,1624,1.0,0.0,1,0,2,1,6,7,2006,40,146500
242,7577,2005,2006,1362,0.0,0.0,2,0,2,1,6,6,2007,220,194700
243,7500,2007,2008,1218,1.0,0.0,2,0,2,1,6,4,2008,336,230348
244,6120,1923,1950,1068,1.0,0.0,1,0,2,1,5,3,2010,0,109500
245,23580,1979,1979,1625,0.0,1.0,2,0,3,1,6,9,2006,164,242500
246,5306,1987,1987,1767,1.0,0.0,2,0,2,1,5,6,2006,476,239000
247,8092,1954,2000,1050,1.0,0.0,1,0,3,1,6,6,2006,0,156000
248,8593,1957,1957,907,0.0,0.0,1,0,3,1,5,7,2008,0,109008
249,11067,1939,1950,845,0.0,0.0,1,0,1,1,4,3,2007,48,68104
250,11929,1995,1995,2501,0.0,0.0,2,1,4,1,9,6,2008,279,290000
251,9900,1966,1966,1209,1.0,0.0,1,0,3,1,6,4,2010,0,159000
252,4882,1937,1950,906,0.0,0.0,1,0,2,1,5,9,2008,0,87000
253,11423,2001,2002,1601,1.0,0.0,2,0,3,1,6,5,2010,180,272000
254,8772,2005,2006,1336,1.0,0.0,2,0,3,1,6,9,2006,179,198000
255,7628,1940,1985,1656,0.0,0.0,2,0,2,1,8,5,2008,187,119164
256,8335,1954,1954,1124,0.0,0.0,1,0,3,1,5,4,2006,36,93000
257,8220,2000,2001,1892,0.0,0.0,2,1,3,1,8,7,2008,108,226750
258,10615,1900,1970,1699,1.0,0.0,2,0,3,2,7,8,2009,74,95000
259,6000,1948,1950,1416,0.0,0.0,1,1,3,1,6,3,2010,221,139900
260,5350,1940,1966,1306,0.0,0.0,1,0,3,1,6,5,2010,263,76500
261,5400,1940,2005,672,0.0,0.0,1,0,2,1,4,7,2008,196,86900
262,17979,1968,1968,1160,1.0,0.0,1,0,3,1,6,2,2008,81,152500
263,9520,1953,1953,930,0.0,0.0,1,0,2,1,5,5,2008,134,99000
264,5330,1940,1950,708,0.0,0.0,1,0,2,1,5,12,2009,164,82500
265,8012,1992,1992,1575,1.0,0.0,2,0,2,1,5,7,2007,0,179200
266,9000,1966,1966,1059,1.0,0.0,1,0,3,1,6,6,2006,88,142500
267,14299,1964,1964,1005,1.0,0.0,1,0,3,1,5,7,2007,0,115400
268,7050,2001,2001,1929,1.0,0.0,2,1,3,1,7,5,2007,235,226000
269,3180,2005,2005,1200,0.0,0.0,2,1,2,1,4,4,2006,166,144152
270,16451,2003,2003,2690,0.0,0.0,2,1,4,1,9,7,2008,326,370000
271,12887,1984,1984,833,1.0,0.0,1,0,2,1,5,4,2010,431,149900
272,15578,2006,2006,1456,0.0,0.0,2,1,3,1,8,5,2006,0,172785
273,7200,1950,2002,864,1.0,0.0,1,0,3,1,5,7,2007,194,129000
274,17043,1979,1998,1586,0.0,0.0,2,0,3,1,7,1,2009,192,181000
275,10000,1956,1956,1370,1.0,0.0,1,0,3,1,6,2,2006,311,148000
276,8050,2002,2002,914,1.0,0.0,1,0,2,1,4,4,2006,32,117250
277,3182,2005,2006,1555,0.0,0.0,2,0,2,1,7,5,2009,163,192500
278,1950,1980,1980,1556,1.0,0.0,2,1,3,1,6,7,2008,161,151000
279,7700,1972,1972,882,1.0,0.0,1,0,3,1,5,3,2007,96,112500
280,8731,1920,1950,1167,0.0,0.0,1,0,3,1,6,5,2007,126,144000
281,8232,2007,2008,1800,1.0,0.0,2,0,2,1,6,6,2008,210,370967
282,2280,1975,1975,1456,0.0,0.0,2,1,3,1,6,6,2010,173,149900
283,8935,2002,2002,1660,0.0,0.0,2,1,3,1,7,7,2009,212,195000
284,9125,1992,1992,1482,0.0,0.0,2,1,3,1,7,7,2007,125,163900
285,11075,1984,1984,1522,0.0,0.0,2,0,3,1,7,2,2007,245,182000
286,13438,2008,2008,2036,1.0,0.0,2,0,3,1,9,7,2009,244,410000
287,11070,1991,1991,1595,1.0,0.0,2,0,2,1,5,4,2009,0,152000
288,7800,2005,2005,1686,0.0,0.0,2,1,3,1,8,4,2006,245,184000
289,7060,1997,1998,1344,2.0,0.0,2,0,2,2,8,11,2008,0,206300
290,11836,1970,1970,1652,0.0,0.0,2,0,4,2,8,3,2006,0,146500
291,8382,1956,1956,1337,0.0,0.0,1,0,3,1,5,2,2010,0,108000
292,10192,1968,1992,1920,0.0,0.0,3,0,4,1,8,9,2006,98,170000
293,4426,2004,2004,848,1.0,0.0,1,0,1,1,3,2,2008,140,145000
294,2280,1975,1975,1055,0.0,1.0,2,0,2,1,4,8,2009,27,123000
295,2887,1996,1997,1291,1.0,0.0,1,0,2,1,6,11,2008,307,173000
296,8520,1928,2003,720,0.0,0.0,1,0,2,1,5,5,2010,106,105900
297,1596,1973,1973,988,1.0,0.0,1,0,2,1,5,11,2009,221,91000
298,15600,1949,2005,1523,1.0,0.0,2,0,3,1,7,10,2009,0,158000
299,9313,2004,2004,1728,0.0,0.0,2,1,3,1,7,4,2009,243,190000
300,11064,1995,1995,1239,1.0,0.0,1,1,1,1,4,8,2008,196,217500
301,9000,1958,1958,1955,0.0,0.0,2,0,4,1,7,1,2008,0,165500
302,12000,1941,1950,1564,0.0,0.0,1,1,3,1,7,7,2009,0,174500
303,7692,1954,1954,1204,0.0,0.0,1,0,3,1,6,11,2008,0,100000
304,14267,1958,1958,1329,0.0,0.0,1,1,3,1,6,6,2010,429,172000
305,9675,1975,1975,879,0.0,0.0,1,0,3,1,5,9,2007,80,120000
306,8400,1950,1950,841,0.0,0.0,1,0,2,1,4,9,2009,250,82000
307,7500,1947,1950,1312,0.0,0.0,1,1,3,1,6,10,2006,28,127000
308,9600,1917,1950,2058,0.0,0.0,1,1,3,1,8,4,2008,0,129500
309,5814,1984,1984,1360,1.0,0.0,1,0,1,1,4,8,2009,63,187500
310,14860,2002,2003,1786,1.0,0.0,2,0,3,1,6,6,2008,217,300000
311,14803,1971,1971,1993,0.0,0.0,2,1,4,1,8,6,2006,66,190000
312,7550,1920,1950,1362,0.0,0.0,2,0,4,1,7,3,2007,0,96000
313,8125,2006,2007,1550,1.0,0.0,2,0,2,1,7,10,2009,168,241000
314,13673,1962,1962,1696,0.0,0.0,1,1,3,1,8,3,2007,30,143900
315,1533,1970,1970,1092,0.0,0.0,1,1,3,1,5,12,2006,0,87550
316,7658,2005,2005,1752,1.0,0.0,2,0,2,1,6,2,2010,278,319900
317,12292,2006,2006,2473,0.0,0.0,2,1,4,1,11,7,2006,285,356383
318,11923,2007,2007,1800,0.0,0.0,2,0,2,1,7,5,2009,424,239000
319,10010,1993,1994,2197,1.0,0.0,2,1,4,1,9,7,2008,484,287500
320,12358,1941,1950,1382,0.0,0.0,1,1,2,1,7,5,2007,237,128500
321,8577,2004,2004,1733,0.0,0.0,2,1,3,1,7,4,2010,192,185088
322,8640,2008,2008,1402,0.0,0.0,2,0,3,1,7,5,2009,331,229800
323,10447,1984,1984,887,0.0,1.0,1,0,3,1,5,12,2007,140,124500
324,9600,1968,1968,1051,1.0,0.0,1,0,3,1,6,7,2006,0,142000
325,4899,1920,1950,1510,0.0,0.0,1,0,3,1,6,6,2006,0,149000
326,9246,1973,1973,1656,0.0,0.0,2,0,4,2,8,11,2008,211,135000
327,4928,1976,1976,958,0.0,0.0,2,0,2,1,5,2,2007,205,128000
328,12692,1992,1993,3228,1.0,0.0,3,0,4,1,10,5,2007,339,430000
329,7476,1968,1968,1040,1.0,0.0,1,1,3,1,5,6,2007,188,145000
330,5362,1910,2003,1250,0.0,0.0,2,0,3,1,8,11,2007,242,139000
331,12090,1984,2003,1868,0.0,0.0,3,1,3,1,7,1,2007,527,178000
